date,sdy,lat,lon,Tchl,Fuco,Perid,Hex-fuco,MV_Chl_b,Zea
20240906,250,34.2211,-119.6837,0.385,0.05,0.007,0.063,0.027,0.029
20240906,250,34.2211,-119.6837,0.383,0.048,0.007,0.062,0.027,0.031
20240906,250,34.2211,-119.6837,0.358,0.046,0.007,0.058,0.025,0.028
20240908,252,34.3095,-119.7333,1.247,0.333,0.024,0.102,0.072,0.026
20240908,252,34.3095,-119.7333,1.213,0.329,0.024,0.099,0.073,0.026
20240908,252,34.3095,-119.7333,1.223,0.33,0.028,0.1,0.074,0.023
20240908,252,34.3684,-120.0261,0.956,0.075,0.147,0.088,0.075,0.067
20240908,252,34.3684,-120.0261,0.937,0.066,0.142,0.088,0.075,0.065
20240908,252,34.3684,-120.0261,0.951,0.064,0.147,0.088,0.076,0.069
20240908,252,34.3539,-119.6513,0.595,0.053,0.037,0.08,0.046,0.07
20240908,252,34.3539,-119.6513,0.56,0.052,0.027,0.078,0.045,0.071
20240908,252,34.3539,-119.6513,0.542,0.051,0.022,0.074,0.045,0.068
20240912,256,34.3597,-119.6266,0.588,0.091,0.027,0.046,0.044,0.066
20240912,256,34.3597,-119.6266,0.617,0.098,0.026,0.052,0.045,0.065
20240912,256,34.3597,-119.6266,0.599,0.097,0.022,0.049,0.047,0.067
20240912,256,34.3161,-119.5451,0.562,0.103,0.01,0.049,0.046,0.105
20240912,256,34.3161,-119.5451,0.57,0.104,0.01,0.048,0.046,0.105
20240912,256,34.3161,-119.5451,0.548,0.105,0.01,0.048,0.043,0.089
20240912,256,34.2616,-119.4386,0.645,0.148,0.008,0.052,0.043,0.047
20240912,256,34.2616,-119.4386,0.655,0.15,0.009,0.052,0.042,0.051
20240912,256,34.2616,-119.4386,0.654,0.154,0.008,0.052,0.041,0.048
20240913,257,34.3269,-119.5017,0.29,0.019,0.006,0.052,0.018,0.046
20240913,257,34.3269,-119.5017,0.291,0.019,0.007,0.052,0.018,0.046
20240913,257,34.3269,-119.5017,0.285,0.018,0.006,0.051,0.018,0.046
20240913,257,34.3229,-119.5743,0.259,0.017,0.003,0.042,0.016,0.051
20240913,257,34.3229,-119.5743,0.259,0.018,0.004,0.042,0.015,0.049
20240913,257,34.3229,-119.5743,0.255,0.017,0.004,0.041,0.015,0.049
20240913,257,34.1227,-119.7013,1.428,0.541,0.017,0.046,0.057,0.019
20240913,257,34.1227,-119.7013,1.758,0.757,0.022,0.047,0.06,0.019
20240913,257,34.1227,-119.7013,1.56,0.681,0.025,0.043,0.055,0.02
20240914,258,34.1314,-119.3766,0.451,0.058,0.011,0.066,0.032,0.037
20240914,258,34.1314,-119.3766,0.437,0.056,0.01,0.063,0.031,0.035
20240914,258,34.1314,-119.3766,0.448,0.055,0.01,0.066,0.033,0.037
20240915,259,34.0144,-119.1739,0.687,0.057,0.054,0.088,0.052,0.066
20240915,259,34.0144,-119.1739,0.693,0.057,0.046,0.087,0.053,0.068
20240915,259,34.0144,-119.1739,0.707,0.06,0.046,0.089,0.053,0.072
20240915,259,34.1591,-119.3106,0.367,0.026,0.006,0.072,0.022,0.049
20240915,259,34.1591,-119.3106,0.366,0.026,0.007,0.071,0.022,0.049
20240915,259,34.1591,-119.3106,0.358,0.026,0.007,0.07,0.021,0.048
20240917,261,34.2263,-119.7711,3.111,1.319,0.015,0.095,0.036,0.026
20240917,261,34.2263,-119.7711,3.013,1.361,0.014,0.1,0.038,0.026
20240917,261,34.2263,-119.7711,2.766,1.197,0.012,0.091,0.034,0.02
20240917,261,34.1805,-119.6653,1.392,0.525,0.017,0.075,0.025,0.019
20240917,261,34.1805,-119.6653,1.204,0.463,0.015,0.068,0.023,0.015
20240917,261,34.1805,-119.6653,1.179,0.432,0.018,0.07,0.024,0.018
20240917,261,34.2608,-119.6197,0.841,0.316,0.005,0.071,0.027,0.027
20240917,261,34.2608,-119.6197,0.793,0.282,0.004,0.07,0.027,0.028
20240917,261,34.2608,-119.6197,0.702,0.238,0.004,0.067,0.026,0.028
20240917,261,34.331,-119.5653,1.127,0.241,0.093,0.122,0.039,0.058
20240917,261,34.331,-119.5653,1.03,0.216,0.092,0.117,0.038,0.055
20240917,261,34.331,-119.5653,1.228,0.286,0.079,0.128,0.04,0.064
20240918,262,34.3491,-120.0538,4.021,1.19,0.152,0.121,0.204,0.062
20240918,262,34.3491,-120.0538,3.758,1.099,0.135,0.117,0.199,0.054
20240918,262,34.3491,-120.0538,3.95,1.164,0.14,0.126,0.202,0.058
20240918,262,34.2982,-119.7546,0.528,0.226,0.004,0.04,0.016,0.012
20240918,262,34.2982,-119.7546,0.573,0.241,0.003,0.041,0.015,0.011
20240918,262,34.2982,-119.7546,0.537,0.227,0.004,0.041,0.016,0.012
20240918,262,34.2896,-119.5274,0.792,0.266,0.01,0.066,0.034,0.023
20240918,262,34.2896,-119.5274,0.795,0.262,0.01,0.066,0.035,0.025
20240918,262,34.2896,-119.5274,0.937,0.289,0.014,0.071,0.038,0.029
